MAX (product_name),orderid,category_name,quantity,country_region
Camembert Pierrot,10384,Dairy Products,15,Europe
Camembert Pierrot,10385,Dairy Products,20,North America
Camembert Pierrot,10419,Dairy Products,60,Europe
Camembert Pierrot,10464,Dairy Products,20,Europe
Camembert Pierrot,10481,Dairy Products,40,Latin America
Camembert Pierrot,10512,Dairy Products,12,Latin America
Camembert Pierrot,10515,Dairy Products,84,Europe
Camembert Pierrot,10519,Dairy Products,10,Europe
Camembert Pierrot,10536,Dairy Products,35,Europe
Camembert Pierrot,10583,Dairy Products,24,Europe
Camembert Pierrot,10605,Dairy Products,70,North America
Camembert Pierrot,10611,Dairy Products,15,Europe
Camembert Pierrot,10612,Dairy Products,40,North America
Camembert Pierrot,10625,Dairy Products,10,Latin America
Camembert Pierrot,10653,Dairy Products,20,Europe
Camembert Pierrot,10657,Dairy Products,30,North America
Camembert Pierrot,10658,Dairy Products,55,Europe
Camembert Pierrot,10684,Dairy Products,30,Europe
Camembert Pierrot,10709,Dairy Products,10,Latin America
Camembert Pierrot,10728,Dairy Products,15,Latin America
Camembert Pierrot,10742,Dairy Products,50,North America
Camembert Pierrot,10768,Dairy Products,15,Europe
Camembert Pierrot,10829,Dairy Products,21,Europe
Camembert Pierrot,10830,Dairy Products,30,Latin America
Camembert Pierrot,10836,Dairy Products,60,Europe
Camembert Pierrot,10847,Dairy Products,45,North America
Camembert Pierrot,10895,Dairy Products,100,Europe
Camembert Pierrot,10917,Dairy Products,10,Europe
Camembert Pierrot,10918,Dairy Products,25,North America
Camembert Pierrot,10938,Dairy Products,49,Europe
Camembert Pierrot,10954,Dairy Products,24,Latin America
Camembert Pierrot,10963,Dairy Products,2,Europe
Camembert Pierrot,10995,Dairy Products,4,Latin America
Camembert Pierrot,11009,Dairy Products,9,Europe
Camembert Pierrot,11012,Dairy Products,36,Europe
Camembert Pierrot,11056,Dairy Products,50,Europe
Camembert Pierrot,11058,Dairy Products,21,Europe
Camembert Pierrot,11059,Dairy Products,35,Latin America
Camembert Pierrot,11060,Dairy Products,4,Europe
Camembert Pierrot,11061,Dairy Products,15,North America
Carnarvon Tigers,10293,Seafood,12,Latin America
Carnarvon Tigers,10305,Seafood,25,North America
Carnarvon Tigers,10332,Seafood,40,North America
Carnarvon Tigers,10340,Seafood,20,Europe
Carnarvon Tigers,10382,Seafood,9,Europe
Carnarvon Tigers,10470,Seafood,30,Europe
Carnarvon Tigers,10516,Seafood,25,Europe
Carnarvon Tigers,10566,Seafood,18,Europe
Carnarvon Tigers,10588,Seafood,40,Europe
Carnarvon Tigers,10634,Seafood,50,Europe
Carnarvon Tigers,10639,Seafood,8,Europe
Carnarvon Tigers,10644,Seafood,4,Latin America
Carnarvon Tigers,10645,Seafood,20,Latin America
Carnarvon Tigers,10719,Seafood,12,North America
Carnarvon Tigers,10745,Seafood,24,Europe
Carnarvon Tigers,10756,Seafood,21,North America
Carnarvon Tigers,10789,Seafood,30,Europe
Carnarvon Tigers,10838,Seafood,25,Latin America
Carnarvon Tigers,10853,Seafood,10,Europe
Carnarvon Tigers,10861,Seafood,20,North America
Carnarvon Tigers,10877,Seafood,25,Latin America
Carnarvon Tigers,10935,Seafood,4,Latin America
Carnarvon Tigers,10964,Seafood,6,Europe
Carnarvon Tigers,10985,Seafood,8,Europe
Carnarvon Tigers,11018,Seafood,10,North America
Carnarvon Tigers,11026,Seafood,8,Europe
Carnarvon Tigers,11053,Seafood,35,Europe
Chai,10285,Beverages,45,Europe
Chai,10294,Beverages,18,North America
Chai,10317,Beverages,20,North America
Chai,10348,Beverages,15,Europe
Chai,10354,Beverages,12,Latin America
Chai,10370,Beverages,15,Europe
Chai,10406,Beverages,10,Latin America
Chai,10413,Beverages,24,Europe
Chai,10477,Beverages,15,Europe
Chai,10522,Beverages,40,Europe
Chai,10526,Beverages,8,Europe
Chai,10576,Beverages,10,Latin America
Chai,10590,Beverages,20,North America
Chai,10609,Beverages,3,Europe
Chai,10611,Beverages,6,Europe
Chai,10628,Beverages,25,Europe
Chai,10646,Beverages,15,Europe
Chai,10689,Beverages,35,Europe
Chai,10691,Beverages,30,Europe
Chai,10700,Beverages,5,North America
Chai,10729,Beverages,50,Latin America
Chai,10752,Beverages,8,Europe
Chai,10838,Beverages,4,Latin America
Chai,10847,Beverages,80,North America
Chai,10863,Beverages,20,Latin America
Chai,10869,Beverages,40,Europe
Chai,10905,Beverages,20,Latin America
Chai,10911,Beverages,10,Europe
Chai,10918,Beverages,60,North America
Chai,10935,Beverages,21,Latin America
Chai,11003,Beverages,4,North America
Chai,11005,Beverages,2,Europe
Chai,11006,Beverages,8,North America
Chai,11025,Beverages,10,Europe
Chai,11031,Beverages,45,North America
Chai,11035,Beverages,10,Europe
Chai,11047,Beverages,25,Europe
Chai,11070,Beverages,40,Europe
Chang,10255,Beverages,20,Europe
Chang,10258,Beverages,50,Europe
Chang,10264,Beverages,35,Europe
Chang,10298,Beverages,40,Europe
Chang,10327,Beverages,25,Europe
Chang,10335,Beverages,7,Europe
Chang,10342,Beverages,24,Europe
Chang,10393,Beverages,25,North America
Chang,10418,Beverages,60,Europe
Chang,10435,Beverages,10,Europe
Chang,10440,Beverages,45,North America
Chang,10469,Beverages,40,North America
Chang,10485,Beverages,20,Latin America
Chang,10504,Beverages,12,North America
Chang,10611,Beverages,10,Europe
Chang,10622,Beverages,20,Latin America
Chang,10632,Beverages,30,Europe
Chang,10641,Beverages,50,Latin America
Chang,10703,Beverages,5,Europe
Chang,10714,Beverages,30,North America
Chang,10722,Beverages,3,North America
Chang,10741,Beverages,15,Europe
Chang,10766,Beverages,40,Europe
Chang,10787,Beverages,15,Europe
Chang,10792,Beverages,10,Europe
Chang,10806,Beverages,20,Europe
Chang,10813,Beverages,12,Latin America
Chang,10829,Beverages,10,Europe
Chang,10851,Beverages,5,Latin America
Chang,10852,Beverages,15,North America
Chang,10856,Beverages,20,Latin America
Chang,10866,Beverages,21,Europe
Chang,10885,Beverages,20,Europe
Chang,10888,Beverages,20,Europe
Chang,10939,Beverages,10,Europe
Chang,10991,Beverages,50,Europe
Chang,11021,Beverages,11,Europe
Chang,11030,Beverages,100,North America
Chang,11041,Beverages,30,Europe
Chang,11049,Beverages,10,Latin America
Chang,11070,Beverages,20,Europe
Chang,11072,Beverages,8,Europe
Chang,11075,Beverages,10,Europe
Chang,11077,Beverages,24,North America
Chartreuse verte,10253,Beverages,42,Latin America
Chartreuse verte,10257,Beverages,6,Latin America
Chartreuse verte,10297,Beverages,60,Europe
Chartreuse verte,10305,Beverages,30,North America
Chartreuse verte,10323,Beverages,4,Europe
Chartreuse verte,10347,Beverages,50,Latin America
Chartreuse verte,10361,Beverages,54,Europe
Chartreuse verte,10377,Beverages,20,Europe
Chartreuse verte,10445,Beverages,6,Europe
Chartreuse verte,10455,Beverages,20,Europe
Chartreuse verte,10477,Beverages,20,Europe
Chartreuse verte,10508,Beverages,10,Europe
Chartreuse verte,10577,Beverages,10,North America
Chartreuse verte,10614,Beverages,5,Europe
Chartreuse verte,10643,Beverages,21,Europe
Chartreuse verte,10647,Beverages,20,Latin America
Chartreuse verte,10654,Beverages,20,Europe
Chartreuse verte,10661,Beverages,3,Europe
Chartreuse verte,10762,Beverages,16,Europe
Chartreuse verte,10764,Beverages,130,Europe
Chartreuse verte,10784,Beverages,2,Europe
Chartreuse verte,10827,Beverages,21,Europe
Chartreuse verte,10830,Beverages,28,Latin America
Chartreuse verte,10840,Beverages,10,Latin America
Chartreuse verte,10865,Beverages,80,Europe
Chartreuse verte,10895,Beverages,45,Europe
Chartreuse verte,10899,Beverages,8,Latin America
Chartreuse verte,10977,Beverages,30,Europe
Chartreuse verte,11069,Beverages,20,Latin America
Chartreuse verte,11077,Beverages,2,North America
Chef Anton's Cajun Seasoning,10309,Condiments,20,Europe
Chef Anton's Cajun Seasoning,10326,Condiments,24,Europe
Chef Anton's Cajun Seasoning,10336,Condiments,18,Europe
Chef Anton's Cajun Seasoning,10339,Condiments,10,North America
Chef Anton's Cajun Seasoning,10344,Condiments,35,North America
Chef Anton's Cajun Seasoning,10464,Condiments,16,Europe
Chef Anton's Cajun Seasoning,10511,Condiments,50,Europe
Chef Anton's Cajun Seasoning,10527,Condiments,50,Europe
Chef Anton's Cajun Seasoning,10533,Condiments,50,Europe
Chef Anton's Cajun Seasoning,10606,Condiments,20,Latin America
Chef Anton's Cajun Seasoning,10635,Condiments,10,Europe
Chef Anton's Cajun Seasoning,10636,Condiments,25,Europe
Chef Anton's Cajun Seasoning,10654,Condiments,12,Europe
Chef Anton's Cajun Seasoning,10704,Condiments,6,Latin America
Chef Anton's Cajun Seasoning,10726,Condiments,25,Europe
Chef Anton's Cajun Seasoning,10846,Condiments,21,Europe
Chef Anton's Cajun Seasoning,10913,Condiments,30,Latin America
Chef Anton's Cajun Seasoning,10950,Condiments,5,Europe
Chef Anton's Cajun Seasoning,11000,Condiments,25,North America
Chef Anton's Gumbo Mix,10258,Condiments,65,Europe
Chef Anton's Gumbo Mix,10262,Condiments,12,North America
Chef Anton's Gumbo Mix,10290,Condiments,20,Latin America
Chef Anton's Gumbo Mix,10382,Condiments,32,Europe
Chef Anton's Gumbo Mix,10635,Condiments,15,Europe
Chef Anton's Gumbo Mix,10708,Condiments,4,North America
Chef Anton's Gumbo Mix,10848,Condiments,30,Europe
Chef Anton's Gumbo Mix,10958,Condiments,20,Latin America
Chef Anton's Gumbo Mix,11030,Condiments,70,North America
Chef Anton's Gumbo Mix,11047,Condiments,30,Europe
Chocolade,10403,Confections,70,Europe
Chocolade,10453,Confections,15,Europe
Chocolade,10507,Confections,15,Latin America
Chocolade,10604,Confections,6,Europe
Chocolade,10704,Confections,24,Latin America
Chocolade,10814,Confections,8,Europe
C�te de Blaye,10329,Beverages,20,North America
C�te de Blaye,10351,Beverages,20,Europe
C�te de Blaye,10353,Beverages,50,Europe
C�te de Blaye,10360,Beverages,10,Europe
C�te de Blaye,10372,Beverages,40,Latin America
C�te de Blaye,10417,Beverages,50,Europe
C�te de Blaye,10424,Beverages,49,North America
C�te de Blaye,10479,Beverages,30,North America
C�te de Blaye,10518,Beverages,15,Latin America
C�te de Blaye,10540,Beverages,30,Europe
C�te de Blaye,10541,Beverages,4,Latin America
C�te de Blaye,10672,Beverages,15,Europe
C�te de Blaye,10783,Beverages,5,Latin America
C�te de Blaye,10816,Beverages,30,North America
C�te de Blaye,10817,Beverages,30,Europe
C�te de Blaye,10828,Beverages,2,Latin America
C�te de Blaye,10865,Beverages,60,Europe
C�te de Blaye,10889,Beverages,40,North America
C�te de Blaye,10964,Beverages,5,Europe
C�te de Blaye,10981,Beverages,60,Latin America
C�te de Blaye,11032,Beverages,25,North America
Escargots de Bourgogne,10314,Seafood,30,North America
Escargots de Bourgogne,10327,Seafood,30,Europe
Escargots de Bourgogne,10373,Seafood,80,Europe
Escargots de Bourgogne,10374,Seafood,15,Europe
Escargots de Bourgogne,10537,Seafood,20,Europe
Escargots de Bourgogne,10594,Seafood,30,North America
Escargots de Bourgogne,10636,Seafood,6,Europe
Escargots de Bourgogne,10661,Seafood,49,Europe
Escargots de Bourgogne,10675,Seafood,30,Europe
Escargots de Bourgogne,10697,Seafood,30,Latin America
Escargots de Bourgogne,10714,Seafood,12,North America
Escargots de Bourgogne,10839,Seafood,30,Latin America
Escargots de Bourgogne,10845,Seafood,60,Europe
Escargots de Bourgogne,10863,Seafood,12,Latin America
Escargots de Bourgogne,10904,Seafood,15,North America
Escargots de Bourgogne,10913,Seafood,15,Latin America
Escargots de Bourgogne,10930,Seafood,30,Europe
Escargots de Bourgogne,11011,Seafood,40,Europe
Filo Mix,10322,Grains/Cereals,20,Latin America
Filo Mix,10334,Grains/Cereals,8,Europe
Filo Mix,10388,Grains/Cereals,20,Europe
Filo Mix,10446,Grains/Cereals,15,Europe
Filo Mix,10449,Grains/Cereals,20,Europe
Filo Mix,10517,Grains/Cereals,6,Europe
Filo Mix,10558,Grains/Cereals,30,Europe
Filo Mix,10563,Grains/Cereals,70,Latin America
Filo Mix,10586,Grains/Cereals,4,Europe
Filo Mix,10594,Grains/Cereals,24,North America
Filo Mix,10620,Grains/Cereals,5,North America
Filo Mix,10683,Grains/Cereals,9,Europe
Filo Mix,10725,Grains/Cereals,4,Latin America
Filo Mix,10733,Grains/Cereals,25,Europe
Filo Mix,10739,Grains/Cereals,18,Europe
Filo Mix,10758,Grains/Cereals,60,Europe
Filo Mix,10769,Grains/Cereals,15,Europe
Filo Mix,10793,Grains/Cereals,8,Europe
Filo Mix,10809,Grains/Cereals,20,Latin America
Filo Mix,10862,Grains/Cereals,8,Europe
Filo Mix,10908,Grains/Cereals,14,Europe
Filo Mix,10925,Grains/Cereals,12,Latin America
Filo Mix,10927,Grains/Cereals,5,Europe
Filo Mix,10961,Grains/Cereals,6,Latin America
Filo Mix,10970,Grains/Cereals,40,Europe
Filo Mix,10997,Grains/Cereals,20,Latin America
Filo Mix,11003,Grains/Cereals,10,North America
Filo Mix,11038,Grains/Cereals,2,Europe
Flotemysost,10274,Dairy Products,20,Europe
Flotemysost,10304,Dairy Products,2,Latin America
Flotemysost,10309,Dairy Products,3,Europe
Flotemysost,10320,Dairy Products,30,Europe
Flotemysost,10333,Dairy Products,40,Europe
Flotemysost,10364,Dairy Products,5,Europe
Flotemysost,10373,Dairy Products,50,Europe
Flotemysost,10378,Dairy Products,6,Europe
Flotemysost,10387,Dairy Products,15,Europe
Flotemysost,10396,Dairy Products,60,Europe
Flotemysost,10399,Dairy Products,30,Europe
Flotemysost,10401,Dairy Products,60,North America
Flotemysost,10447,Dairy Products,2,Latin America
Flotemysost,10455,Dairy Products,30,Europe
Flotemysost,10458,Dairy Products,50,Europe
Flotemysost,10541,Dairy Products,9,Latin America
Flotemysost,10598,Dairy Products,9,North America
Flotemysost,10605,Dairy Products,15,North America
Flotemysost,10616,Dairy Products,15,North America
Flotemysost,10621,Dairy Products,15,Europe
Flotemysost,10626,Dairy Products,20,Europe
Flotemysost,10646,Dairy Products,30,Europe
Flotemysost,10667,Dairy Products,14,Europe
Flotemysost,10672,Dairy Products,12,Europe
Flotemysost,10700,Dairy Products,60,North America
Flotemysost,10701,Dairy Products,20,Europe
Flotemysost,10715,Dairy Products,30,Europe
Flotemysost,10720,Dairy Products,8,Latin America
Flotemysost,10768,Dairy Products,12,Europe
Flotemysost,10771,Dairy Products,16,Europe
Flotemysost,10847,Dairy Products,55,North America
Flotemysost,10901,Dairy Products,30,Latin America
Flotemysost,10914,Dairy Products,25,Latin America
Flotemysost,10938,Dairy Products,35,Europe
Flotemysost,11008,Dairy Products,21,Europe
Flotemysost,11011,Dairy Products,20,Europe
Flotemysost,11012,Dairy Products,60,Europe
Flotemysost,11024,Dairy Products,50,Europe
Flotemysost,11031,Dairy Products,16,North America
Flotemysost,11038,Dairy Products,30,Europe
Geitost,10252,Dairy Products,25,Europe
Geitost,10269,Dairy Products,60,North America
Geitost,10271,Dairy Products,24,North America
Geitost,10273,Dairy Products,20,Europe
Geitost,10341,Dairy Products,8,Europe
Geitost,10382,Dairy Products,60,Europe
Geitost,10410,Dairy Products,49,North America
Geitost,10414,Dairy Products,50,Latin America
Geitost,10415,Dairy Products,20,North America
Geitost,10454,Dairy Products,20,Europe
Geitost,10473,Dairy Products,12,Europe
Geitost,10515,Dairy Products,16,Europe
Geitost,10528,Dairy Products,8,North America
Geitost,10536,Dairy Products,30,Europe
Geitost,10539,Dairy Products,15,Europe
Geitost,10562,Dairy Products,20,Europe
Geitost,10574,Dairy Products,14,North America
Geitost,10607,Dairy Products,14,North America
Geitost,10632,Dairy Products,20,Europe
Geitost,10677,Dairy Products,8,Latin America
Geitost,10678,Dairy Products,30,North America
Geitost,10682,Dairy Products,30,Latin America
Geitost,10815,Dairy Products,16,North America
Geitost,10850,Dairy Products,4,Europe
Geitost,10861,Dairy Products,35,North America
Geitost,10913,Dairy Products,40,Latin America
Geitost,10915,Dairy Products,30,Latin America
Geitost,10951,Dairy Products,15,Europe
Geitost,10972,Dairy Products,7,Europe
Geitost,11024,Dairy Products,30,Europe
Geitost,11045,Dairy Products,15,North America
Geitost,11054,Dairy Products,10,Latin America
Genen Shouyu,10283,Condiments,20,Latin America
Genen Shouyu,10323,Condiments,5,Europe
Genen Shouyu,10500,Condiments,12,Europe
Genen Shouyu,10579,Condiments,10,North America
Genen Shouyu,10592,Condiments,25,Europe
Genen Shouyu,10657,Condiments,50,North America
Gnocchi di nonna Alice,10262,Grains/Cereals,2,North America
Gnocchi di nonna Alice,10295,Grains/Cereals,4,Europe
Gnocchi di nonna Alice,10301,Grains/Cereals,20,Europe
Gnocchi di nonna Alice,10329,Grains/Cereals,12,North America
Gnocchi di nonna Alice,10346,Grains/Cereals,20,North America
Gnocchi di nonna Alice,10369,Grains/Cereals,18,North America
Gnocchi di nonna Alice,10383,Grains/Cereals,20,Europe
Gnocchi di nonna Alice,10401,Grains/Cereals,70,North America
Gnocchi di nonna Alice,10426,Grains/Cereals,5,Europe
Gnocchi di nonna Alice,10430,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10433,Grains/Cereals,28,Europe
Gnocchi di nonna Alice,10436,Grains/Cereals,40,Europe
Gnocchi di nonna Alice,10458,Grains/Cereals,15,Europe
Gnocchi di nonna Alice,10464,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10471,Grains/Cereals,20,Europe
Gnocchi di nonna Alice,10494,Grains/Cereals,30,Latin America
Gnocchi di nonna Alice,10497,Grains/Cereals,14,Europe
Gnocchi di nonna Alice,10514,Grains/Cereals,70,Europe
Gnocchi di nonna Alice,10519,Grains/Cereals,40,Europe
Gnocchi di nonna Alice,10526,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10555,Grains/Cereals,40,North America
Gnocchi di nonna Alice,10570,Grains/Cereals,60,North America
Gnocchi di nonna Alice,10596,Grains/Cereals,5,North America
Gnocchi di nonna Alice,10608,Grains/Cereals,28,Europe
Gnocchi di nonna Alice,10616,Grains/Cereals,14,North America
Gnocchi di nonna Alice,10618,Grains/Cereals,20,North America
Gnocchi di nonna Alice,10637,Grains/Cereals,60,Latin America
Gnocchi di nonna Alice,10657,Grains/Cereals,45,North America
Gnocchi di nonna Alice,10664,Grains/Cereals,12,Europe
Gnocchi di nonna Alice,10690,Grains/Cereals,20,Latin America
Gnocchi di nonna Alice,10712,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10714,Grains/Cereals,18,North America
Gnocchi di nonna Alice,10727,Grains/Cereals,10,Europe
Gnocchi di nonna Alice,10740,Grains/Cereals,14,North America
Gnocchi di nonna Alice,10748,Grains/Cereals,28,North America
Gnocchi di nonna Alice,10749,Grains/Cereals,15,Europe
Gnocchi di nonna Alice,10755,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10762,Grains/Cereals,60,Europe
Gnocchi di nonna Alice,10781,Grains/Cereals,20,Europe
Gnocchi di nonna Alice,10790,Grains/Cereals,20,Latin America
Gnocchi di nonna Alice,10808,Grains/Cereals,20,North America
Gnocchi di nonna Alice,10820,Grains/Cereals,30,North America
Gnocchi di nonna Alice,10841,Grains/Cereals,30,Europe
Gnocchi di nonna Alice,10855,Grains/Cereals,24,North America
Gnocchi di nonna Alice,10884,Grains/Cereals,21,North America
Gnocchi di nonna Alice,10896,Grains/Cereals,16,Europe
Gnocchi di nonna Alice,10944,Grains/Cereals,18,North America
Gnocchi di nonna Alice,10966,Grains/Cereals,12,Europe
Gnocchi di nonna Alice,11018,Grains/Cereals,5,North America
Gnocchi di nonna Alice,11029,Grains/Cereals,20,Europe
Gorgonzola Telino,10253,Dairy Products,20,Latin America
Gorgonzola Telino,10272,Dairy Products,40,North America
Gorgonzola Telino,10273,Dairy Products,15,Europe
Gorgonzola Telino,10325,Dairy Products,4,Europe
Gorgonzola Telino,10335,Dairy Products,25,Europe
Gorgonzola Telino,10342,Dairy Products,56,Europe
Gorgonzola Telino,10356,Dairy Products,30,Europe
Gorgonzola Telino,10359,Dairy Products,70,Europe
Gorgonzola Telino,10363,Dairy Products,20,Europe
Gorgonzola Telino,10374,Dairy Products,30,Europe
Gorgonzola Telino,10376,Dairy Products,42,North America
Gorgonzola Telino,10390,Dairy Products,60,Europe
Gorgonzola Telino,10393,Dairy Products,32,North America
Gorgonzola Telino,10423,Dairy Products,14,Latin America
Gorgonzola Telino,10446,Dairy Products,3,Europe
Gorgonzola Telino,10475,Dairy Products,35,Europe
Gorgonzola Telino,10496,Dairy Products,20,Latin America
Gorgonzola Telino,10536,Dairy Products,20,Europe
Gorgonzola Telino,10537,Dairy Products,30,Europe
Gorgonzola Telino,10549,Dairy Products,55,Europe
Gorgonzola Telino,10553,Dairy Products,30,Europe
Gorgonzola Telino,10564,Dairy Products,6,North America
Gorgonzola Telino,10567,Dairy Products,60,Europe
Gorgonzola Telino,10569,Dairy Products,35,North America
Gorgonzola Telino,10576,Dairy Products,20,Latin America
Gorgonzola Telino,10584,Dairy Products,50,Europe
Gorgonzola Telino,10659,Dairy Products,20,Latin America
Gorgonzola Telino,10668,Dairy Products,8,Europe
Gorgonzola Telino,10680,Dairy Products,20,North America
Gorgonzola Telino,10705,Dairy Products,20,Latin America
Gorgonzola Telino,10722,Dairy Products,50,North America
Gorgonzola Telino,10730,Dairy Products,3,Europe
Gorgonzola Telino,10747,Dairy Products,8,Europe
Gorgonzola Telino,10768,Dairy Products,50,Europe
Gorgonzola Telino,10773,Dairy Products,70,Europe
Gorgonzola Telino,10774,Dairy Products,2,Europe
Gorgonzola Telino,10776,Dairy Products,16,Europe
Gorgonzola Telino,10782,Dairy Products,1,Latin America
Gorgonzola Telino,10783,Dairy Products,10,Latin America
Gorgonzola Telino,10812,Dairy Products,16,Europe
Gorgonzola Telino,10826,Dairy Products,35,Europe
Gorgonzola Telino,10833,Dairy Products,9,Europe
Gorgonzola Telino,10855,Dairy Products,14,North America
Gorgonzola Telino,10886,Dairy Products,35,Latin America
Gorgonzola Telino,10941,Dairy Products,44,North America
Gorgonzola Telino,10945,Dairy Products,10,Europe
Gorgonzola Telino,10953,Dairy Products,50,Europe
Gorgonzola Telino,10954,Dairy Products,25,Latin America
Gorgonzola Telino,10979,Dairy Products,24,Europe
Gorgonzola Telino,11016,Dairy Products,15,Europe
Gorgonzola Telino,11070,Dairy Products,20,Europe
Grandma's Boysenberry Spread,10309,Condiments,30,Europe
Grandma's Boysenberry Spread,10325,Condiments,6,Europe
Grandma's Boysenberry Spread,10618,Condiments,70,North America
Grandma's Boysenberry Spread,10734,Condiments,30,Latin America
Grandma's Boysenberry Spread,10830,Condiments,6,Latin America
Grandma's Boysenberry Spread,10871,Condiments,50,Europe
Grandma's Boysenberry Spread,10934,Condiments,20,Europe
Grandma's Boysenberry Spread,10949,Condiments,12,North America
Grandma's Boysenberry Spread,10952,Condiments,16,Europe
Grandma's Boysenberry Spread,10989,Condiments,40,Latin America
